Ingresos mensuales de remesas familiares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datos actualizados hasta: Marzo 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millones de US$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepto,1991-01,1991-02,1991-03,1991-04,1991-05,1991-06,1991-07,1991-08,1991-09,1991-10,1991-11,1991-12,1992-01,1992-02,1992-03,1992-04,1992-05,1992-06,1992-07,1992-08,1992-09,1992-10,1992-11,1992-12,1993-01,1993-02,1993-03,1993-04,1993-05,1993-06,1993-07,1993-08,1993-09,1993-10,1993-11,1993-12,1994-01,1994-02,1994-03,1994-04,1994-05,1994-06,1994-07,1994-08,1994-09,1994-10,1994-11,1994-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1996-01,1996-02,1996-03,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-1(p),2024-2(p),2024-3(p),2024-4(p),2024-5(p),2024-6(p),2024-7(p),2024-8(p),2024-9(p),2024-10(p),2024-11(p),2024-12(p),2025-1(p),2025-2(p),2025-3(p),2025-4(p),2025-5(p),2025-6(p),2025-7(p),2025-8(p),2025-9(p),2025-10(p),2025-11(p),2025-12(p)
Ingresos mensuales de remesas familiares,63.1,58.4,67.6,77.8,77.4,67.8,70,53.5,53.1,64,64.3,73.1,65,66,75.6,74.5,76.3,75.6,77.7,62,60.3,65.5,70.5,89.3,57.7,65.3,81,76.4,75.6,71.6,76,68.7,62.9,66.6,74.1,88.2,69.4,72.9,81.1,79,88.2,77.1,75.1,86.4,80.4,73.5,80.1,99.3,82.1,74.4,86.2,76.2,98.1,91.6,90.6,93.1,85,89.1,89.1,105.9,90.6,74,89.6,84.6,100.9,86.1,105.3,96.3,88.2,94,80,96.9,89.2,77.8,84.2,103.3,100.9,106.8,117.1,98.2,105.8,106.9,88.7,120.6,98.9,86.6,110.2,113.1,112.5,111.3,116.2,114.7,114.2,114.6,115.1,130.9,106.7,97.2,115.5,117.9,119.4,108.6,119.1,106.5,106.4,113.9,121.5,141.1,132.1,125.9,140.7,121.7,153.4,143.6,152,156.2,142.7,159.8,155.6,167,147.6,147.2,149.6,139.7,179.1,157.8,162.9,166.8,146.7,169.6,158.7,184.8,143.4,146.2,157.8,174.2,180.3,167.9,162.2,160.1,150.5,156.5,160.9,175.2,146,149.1,170.1,177.4,186.1,178.1,175.8,172.8,180.4,181.1,174.8,213.6,171.3,170.3,218.4,213.8,220.5,212.6,210.1,224.4,213.51,215.9,230.6,246.2,189.73,199.31,250.41,245.47,272.17,250.81,240.89,272.23,245.19,261.54,266.11,323.32,237.67,249.75,309.35,274.05,330.83,289.77,284.91,293.72,271.41,301.02,279.55,348.86,270.86,269.05,320.21,310.29,337.96,310.03,324.61,312.21,281.64,323.79,283.5,351.11,270.46,295.91,338.37,334.36,343.58,332.94,328.82,299.48,303.14,302.96,262.74,329.32,248.65,270.93,309.29,281.81,296.32,286.9,275.39,285.19,269.4,278.09,259.01,326.17,229.56,264.72,338.86,298.11,321.32,296.19,289.17,289.07,262.84,272.17,265.02,328.26,248.37,279.6,332.05,307.58,336.95,298.18,299.91,302.58,286.69,299.85,281.33,354.39,268.36,316.69,362.55,333.18,349.29,319.2,331.06,313.47,304.93,320.28,292.47,375.14,279.5,300.14,336.8,355.34,358.23,318.98,331.46,323.05,315.51,332.86,307.3,385.03,282.17,310.93,374.83,353.76,384.07,353.15,349.83,339.54,331.5,340.78,316.32,402.29,293.91,315.04,371.88,353.22,384.81,361.91,354.32,355.57,345.9,362.71,336.34,420.96,303.86,350.78,383.84,381.26,409.06,376.81,371.15,377.66,360.62,387.79,371.85,469.17,340.07,375.94,447.55,402.91,455.37,410.01,415.93,407.79,401.78,425.12,403.56,499.35,380.09,395,450.81,484.82,486.34,454.47,457.4,445.42,429.31,458.92,424.94,527.18,398.32,405.41,492.56,478.62,507.3,462.5,485.7,472.29,459.25,483.82,458.43,551.98,423.76,448.54,435.45,287.32,414.39,508.14,553.14,559.3,553.44,575.42,519.42,651.61,522.28,510.2,688.2,647.95,688.68,627.11,632.73,621.45,600.94,652.74,632.26,760.7,560.28,579.88,685.06,648.65,706.86,637.89,642.42,654.93,628.12,674.06,631.94,769.48,602.18,612.81,721.87,672.62,761.38,695.2,699.49,682.77,674.13,694.48,657.78,800.71,599.85,631.47,688.39,749.42,763.76,669.14,714,709.06,683.14,732.41,706.33,832.73,676.29,730.35,863.05,807.24,899.08,865.38,872.89,824.96,819.74,852.99,814.82,961.12
"Notas Relevantes
 (p) Cifras preliminares
 Fuente: Banco Central de Reserva con tratamiento metodológico de Balanza de Pagos y datos suministrados por bancos, empresas remesadoras, federaciones, empresas telefónicas y de billeteras digitales.
 Notas técnicas:
 a) Los datos de las remesas en efectivo (o bolsillo) son calculados con base en encuestas realizadas en Estados Unidos.
 b) Las estadísticas individuales de instituciones, entidades y personas son datos confidenciales de conformidad con el Artículo 64 de la Ley Orgánica del Banco Central de Reserva y el Art. 24 de la Ley de Acceso a la Información Pública.
 c) En el marco de la calidad de los datos, el Sexto Manual de Balanza de Pagos y la Guía para Compiladores y Usuarios de Transacciones Internacionales de Remesas del FMI recomiendan establecer políticas de revisión de las estadísticas, las cuales se llevan a cabo en enero de cada año ajustando hasta tres años previos.
 Para más información ver el Documento Metodológico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
