Modelo,RMSE,MAE,R²,MAPE,Período evaluación,Observaciones
Regresión Lineal,74.62185580423845,56.089109590002394,0.6191726466670571,8.893161550583532,2020-01 a 2025-12,72
Random Forest,232.5103187653135,208.1541392525341,-2.697264378938569,29.566330592448676,2020-01 a 2025-12,72
XGBoost,220.52200569156898,196.7877300008138,-2.325828963660296,28.264588764255787,2020-01 a 2025-12,72
LSTM,192.81126829197188,177.2019854566786,-1.5424994418748694,26.182801037180216,2020-01 a 2025-12,72
