Variable,Importancia,Importancia_%
Remesas_Lag12,0.34170900428808937,34.17
Remesas_Lag1,0.24225674995553012,24.23
Remesas_Lag3,0.22101308867500336,22.1
Remesas_Lag2,0.1934297252074515,19.34
Dummy_Crisis,0.0015914318739256102,0.16
Dummy_Covid,0.0,0.0
